|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 52 |      1.0      |      0.9963     |        0.9997       |        0.9954        |     1.0      |     0.9816     |       0.9994       |        0.9901       |     1.0      |     0.9196     |       0.9995       |        0.9897       |     115      |       50      |
| Class 53 |      1.0      |      0.9947     |        0.9997       |        0.9955        |    0.9938    |     0.9663     |       0.9998       |        0.9903       |    0.9938    |     0.8426     |       0.9996       |        0.9903       |     115      |       54      |
| Class 54 |      1.0      |      0.9949     |        0.9997       |        0.9954        |     1.0      |     0.9535     |       0.9996       |        0.9904       |     1.0      |     0.8004     |       0.9997       |        0.9901       |     115      |       54      |
| Class 55 |      1.0      |      0.9968     |        0.9997       |        0.9954        |     1.0      |     0.9116     |       0.9996       |        0.9901       |     1.0      |     0.7308     |       0.9997       |        0.9897       |     115      |       57      |
| Class 56 |      1.0      |      0.9942     |        0.9997       |        0.9955        |     1.0      |     0.9369     |       0.9996       |        0.9902       |     1.0      |     0.8268     |       0.9998       |        0.9902       |     115      |       52      |
| Class 57 |      1.0      |      0.9958     |        0.9997       |        0.9954        |     1.0      |     0.9414     |       0.9997       |        0.9901       |     1.0      |     0.7437     |       0.9995       |         0.99        |     115      |       50      |
| Class 58 |      1.0      |      0.996      |        0.9997       |        0.9954        |     1.0      |     0.9528     |       0.9995       |        0.9901       |     1.0      |     0.7652     |       0.9997       |         0.99        |     115      |       48      |
| Class 59 |     0.9931    |      0.9943     |        0.9998       |        0.9955        |    0.9931    |     0.9365     |       0.9998       |         0.99        |    0.9931    |     0.8272     |       0.9998       |        0.9902       |     115      |       51      |
| Class 60 |      1.0      |      0.9963     |        0.9997       |        0.9954        |     1.0      |     0.9536     |       0.9997       |        0.9903       |     1.0      |     0.7462     |       0.9997       |        0.9902       |     115      |       46      |
| Class 61 |      1.0      |      0.9943     |        0.9997       |        0.9955        |     1.0      |     0.9006     |       0.9998       |        0.9903       |     1.0      |     0.7606     |       0.9996       |        0.9901       |     115      |       60      |
| Class 62 |      1.0      |      0.9948     |        0.9997       |        0.9954        |     1.0      |     0.9236     |       0.9997       |        0.9903       |     1.0      |     0.737      |       0.9995       |        0.9902       |     115      |       49      |
| Class 63 |      1.0      |      0.9976     |        0.9997       |        0.9954        |     1.0      |     0.967      |       0.9995       |        0.9901       |     1.0      |     0.8358     |       0.9995       |        0.9901       |     115      |       50      |
| Class 64 |      1.0      |      0.997      |        0.9997       |        0.9954        |     1.0      |     0.9469     |       0.9998       |        0.9901       |     1.0      |     0.792      |       0.9997       |        0.9901       |     115      |       55      |
| Class 65 |      1.0      |      0.9959     |        0.9997       |        0.9954        |     1.0      |     0.9429     |       0.9995       |        0.9903       |     1.0      |     0.7635     |       0.9997       |        0.9901       |     115      |       59      |
| Class 66 |     0.9942    |      0.9958     |        0.9998       |        0.9954        |    0.9942    |     0.9542     |       0.9998       |        0.9904       |    0.9942    |     0.8532     |       0.9999       |        0.9901       |     115      |       49      |
| Class 67 |      1.0      |      0.9959     |        0.9997       |        0.9954        |     1.0      |     0.9464     |       0.9995       |        0.9902       |     1.0      |     0.7032     |       0.9995       |        0.9898       |     115      |       57      |
| Class 68 |      1.0      |      0.9949     |        0.9997       |        0.9954        |     1.0      |     0.9463     |       0.9997       |        0.9902       |     1.0      |     0.7675     |       0.9996       |        0.9901       |     115      |       51      |
| Class 69 |      1.0      |      0.9937     |        0.9997       |        0.9955        |     1.0      |     0.9399     |       0.9997       |        0.9904       |     1.0      |     0.7374     |       0.9997       |         0.99        |     115      |       53      |
| Class 70 |      1.0      |      0.9964     |        0.9997       |        0.9954        |     1.0      |     0.9397     |       0.9995       |        0.9905       |     1.0      |     0.7739     |       0.9997       |        0.9901       |     115      |       50      |
| Class 71 |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.9304     |       0.9997       |        0.9902       |     1.0      |     0.8847     |       0.9997       |         0.99        |     115      |       57      |
| Class 72 |      1.0      |      0.9833     |        0.9997       |        0.9955        |     1.0      |     0.8216     |       0.9995       |        0.9902       |     1.0      |     0.5579     |       0.9995       |        0.9899       |     115      |       53      |
