|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 44 |      1.0      |      0.9964     |        0.9997       |        0.9954        |     1.0      |     0.7863     |       0.9997       |        0.9365       |     1.0      |     0.7863     |       0.9997       |        0.9365       |     230      |  tensor(-115) |
| Class 45 |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.7958     |       0.9995       |        0.939        |     1.0      |     0.7969     |       0.9995       |        0.9391       |     230      |      230      |
| Class 46 |      1.0      |      0.9948     |        0.9997       |        0.9954        |    0.993     |     0.7967     |       0.9997       |        0.9389       |    0.993     |     0.7967     |       0.9997       |        0.9389       |     230      |  tensor(-115) |
| Class 47 |     0.9933    |      0.9934     |        0.9998       |        0.9955        |    0.9866    |     0.7825     |       0.9998       |        0.9364       |    0.9866    |     0.777      |       0.9998       |        0.9373       |     230      |      227      |
| Class 48 |      1.0      |      0.9955     |        0.9997       |        0.9954        |     1.0      |     0.7938     |       0.9995       |        0.9396       |     1.0      |     0.7938     |       0.9995       |        0.9396       |     230      |  tensor(-115) |
| Class 49 |      1.0      |      0.9958     |        0.9997       |        0.9954        |     1.0      |     0.7848     |       0.9998       |        0.9358       |     1.0      |     0.7881     |       0.9997       |        0.9358       |     230      |      228      |
| Class 50 |      1.0      |      0.9951     |        0.9997       |        0.9954        |     1.0      |     0.7779     |       0.9995       |        0.937        |     1.0      |     0.7808     |       0.9995       |        0.9369       |     230      |  tensor(-115) |
| Class 51 |      1.0      |      0.997      |        0.9997       |        0.9954        |     1.0      |     0.8818     |       0.9996       |        0.9351       |     1.0      |     0.8818     |       0.9996       |        0.9351       |     230      |      228      |
| Class 52 |      1.0      |      0.9963     |        0.9997       |        0.9954        |     1.0      |     0.8656     |       0.9995       |        0.9376       |     1.0      |     0.8656     |       0.9995       |        0.9376       |     230      |  tensor(-115) |
| Class 53 |      1.0      |      0.9947     |        0.9997       |        0.9955        |    0.9938    |     0.8231     |       0.9996       |        0.9374       |    0.9938    |     0.8208     |       0.9996       |        0.9376       |     230      |      228      |
| Class 54 |      1.0      |      0.9949     |        0.9997       |        0.9954        |     1.0      |     0.7815     |       0.9996       |        0.9346       |     1.0      |     0.7815     |       0.9996       |        0.9346       |     230      |  tensor(-115) |
| Class 55 |      1.0      |      0.9968     |        0.9997       |        0.9954        |     1.0      |     0.812      |       0.9997       |        0.9351       |     1.0      |     0.812      |       0.9997       |        0.9351       |     230      |      227      |
| Class 56 |      1.0      |      0.9942     |        0.9997       |        0.9955        |     1.0      |     0.764      |       0.9997       |        0.9382       |     1.0      |     0.764      |       0.9997       |        0.9382       |     230      |  tensor(-115) |
| Class 57 |      1.0      |      0.9958     |        0.9997       |        0.9954        |     1.0      |     0.8239     |       0.9997       |        0.9364       |     1.0      |     0.8227     |       0.9997       |        0.9368       |     230      |      227      |
| Class 58 |      1.0      |      0.996      |        0.9997       |        0.9954        |     1.0      |     0.6962     |       0.9998       |        0.9358       |     1.0      |     0.6962     |       0.9998       |        0.9358       |     230      |  tensor(-115) |
| Class 59 |     0.9931    |      0.9943     |        0.9998       |        0.9955        |    0.9931    |     0.8343     |       0.9998       |        0.9368       |    0.9931    |     0.8361     |       0.9998       |        0.937        |     230      |      226      |
| Class 60 |      1.0      |      0.9963     |        0.9997       |        0.9954        |     1.0      |     0.7967     |       0.9995       |        0.9378       |     1.0      |     0.7967     |       0.9995       |        0.9378       |     230      |  tensor(-115) |
| Class 61 |      1.0      |      0.9943     |        0.9997       |        0.9955        |     1.0      |     0.802      |       0.9997       |        0.9338       |     1.0      |     0.7905     |       0.9997       |        0.9346       |     230      |      230      |
