Banking77

Low STD MAX

+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
| Class 20 |      1.0      |      0.9775     |        0.9997       |        0.9676        |     1.0      |     0.9652     |       0.9995       |        0.9758       |     1.0      |     0.6582     |       0.9996       |        0.9746       |     230      |  tensor(-115) |
| Class 21 |      1.0      |      0.9821     |        0.9996       |        0.9694        |     1.0      |     0.9548     |       0.9997       |        0.9747       |     1.0      |     0.7243     |       0.9995       |        0.974        |     230      |      111      |
| Class 22 |      1.0      |      0.9593     |        0.9995       |        0.971         |     1.0      |     0.9542     |       0.9996       |        0.9756       |     1.0      |     0.6089     |       0.9996       |        0.9748       |     230      |  tensor(-115) |
| Class 23 |      1.0      |      0.878      |        0.9996       |        0.9719        |     1.0      |     0.8023     |       0.9996       |        0.9754       |     1.0      |     0.3894     |       0.9995       |        0.9743       |     230      |      106      |
| Class 24 |      1.0      |      0.9733     |        0.9995       |        0.9722        |     1.0      |     0.9639     |       0.9998       |        0.9752       |     1.0      |     0.6832     |       0.9995       |        0.9735       |     230      |  tensor(-115) |
| Class 25 |      1.0      |      0.9488     |        0.9995       |        0.9701        |     1.0      |     0.9593     |       0.9997       |        0.9748       |    0.9935    |     0.6501     |       0.9997       |        0.9749       |     230      |      112      |
| Class 26 |      1.0      |      0.9858     |        0.9996       |        0.9697        |     1.0      |     0.9493     |       0.9994       |        0.9765       |     1.0      |      0.63      |       0.9994       |        0.9759       |     230      |  tensor(-115) |
| Class 27 |      1.0      |      0.978      |        0.9994       |        0.9698        |     1.0      |     0.9641     |       0.9997       |        0.976        |     1.0      |     0.6888     |       0.9995       |        0.9743       |     230      |      109      |
| Class 28 |      1.0      |      0.9816     |        0.9995       |        0.9703        |     1.0      |     0.9736     |       0.9993       |        0.9762       |     1.0      |     0.6689     |       0.9996       |        0.9749       |     230      |  tensor(-115) |
| Class 29 |      1.0      |      0.9679     |        0.9996       |        0.9693        |     1.0      |     0.9753     |       0.9995       |        0.9769       |     1.0      |     0.7976     |       0.9995       |        0.9756       |     230      |      106      |
| Class 30 |      1.0      |      0.9791     |        0.9995       |        0.9734        |     1.0      |     0.9597     |       0.9997       |        0.975        |     1.0      |     0.6991     |       0.9997       |        0.9735       |     230      |  tensor(-115) |
| Class 31 |      1.0      |       0.96      |        0.9997       |        0.9703        |     1.0      |     0.9654     |       0.9995       |        0.9747       |     1.0      |     0.8069     |       0.9996       |        0.9748       |     230      |      112      |
| Class 32 |      1.0      |      0.9566     |        0.9996       |        0.973         |     1.0      |     0.9702     |       0.9995       |        0.9753       |     1.0      |     0.7414     |       0.9995       |        0.9753       |     230      |  tensor(-115) |
| Class 33 |      1.0      |      0.9766     |        0.9995       |        0.9726        |     1.0      |     0.9111     |       0.9996       |        0.9766       |     1.0      |     0.7223     |       0.9995       |        0.9742       |     230      |      110      |
| Class 34 |      1.0      |      0.9811     |        0.9995       |        0.9711        |     1.0      |     0.9716     |       0.9997       |        0.9751       |     1.0      |     0.7095     |       0.9995       |        0.9752       |     230      |  tensor(-115) |
| Class 35 |      1.0      |      0.9654     |        0.9995       |        0.9709        |     1.0      |     0.9564     |       0.9995       |        0.9757       |     1.0      |     0.7243     |       0.9997       |        0.9741       |     230      |      106      |
| Class 36 |      1.0      |      0.9618     |        0.9997       |        0.9708        |     1.0      |     0.9217     |       0.9995       |        0.9766       |     1.0      |     0.7399     |       0.9995       |        0.9759       |     230      |  tensor(-115) |
| Class 37 |      1.0      |      0.9688     |        0.9995       |        0.9729        |     1.0      |     0.9605     |       0.9996       |        0.9782       |     1.0      |     0.5615     |       0.9997       |        0.9754       |     230      |      109      |
| Class 38 |      1.0      |      0.9707     |        0.9997       |        0.9714        |     1.0      |     0.954      |       0.9995       |        0.9753       |     1.0      |     0.7114     |       0.9995       |        0.9745       |     230      |  tensor(-115) |
| Class 39 |      1.0      |      0.9853     |        0.9995       |        0.9716        |     1.0      |     0.9718     |       0.9997       |        0.9753       |    0.9845    |     0.7392     |       0.9997       |        0.9752       |     230      |      122      |
